reg_ymdhms,vds_id,tr_vol,trvl_spd,trvl_tm
20230216035000,VDS0023,16.0,70.0,21.0
20230216035500,VDS0023,28.0,62.8,24.0
20230216040000,VDS0023,23.0,64.5,23.0
20230216040500,VDS0023,21.0,64.1,23.0
20230216041000,VDS0023,20.0,61.1,24.0
20230216041500,VDS0023,19.0,59.7,25.0
20230216042000,VDS0023,15.0,56.4,26.0
20230216042500,VDS0023,24.0,62.3,24.0
20230216043000,VDS0023,28.0,64.6,23.0
20230216043500,VDS0023,22.0,64.3,23.0
20230216044000,VDS0023,28.0,66.8,22.0
20230216044500,VDS0023,36.0,69.0,21.0
20230216045000,VDS0023,28.0,70.3,21.0
20230216045500,VDS0023,24.0,55.9,26.0
20230216050000,VDS0023,41.0,61.5,24.0
20230216050500,VDS0023,34.0,67.2,22.0
20230216051000,VDS0023,31.0,63.8,23.0
20230216051500,VDS0023,45.0,66.9,22.0
20230216052000,VDS0023,36.0,66.4,22.0
20230216052500,VDS0023,33.0,62.4,24.0
20230216053000,VDS0023,50.0,65.7,22.0
20230216053500,VDS0023,40.0,62.0,24.0
20230216054000,VDS0023,45.0,66.0,22.0
20230216054500,VDS0023,74.0,69.5,21.0
20230216055000,VDS0023,59.0,72.0,21.0
20230216055500,VDS0023,68.0,65.4,23.0
20230216060000,VDS0023,78.0,67.9,22.0
20230216060500,VDS0023,57.0,66.1,22.0
20230216061000,VDS0023,72.0,62.6,24.0
20230216061500,VDS0023,81.0,64.0,23.0
20230216062000,VDS0023,61.0,59.8,25.0
20230216062500,VDS0023,85.0,63.3,23.0
20230216063000,VDS0023,127.0,62.9,23.0
20230216063500,VDS0023,97.0,66.2,22.0
20230216064000,VDS0023,129.0,62.6,24.0
20230216064500,VDS0023,114.0,71.9,21.0
20230216065000,VDS0023,100.0,65.5,23.0
20230216065500,VDS0023,141.0,63.0,23.0
20230216070000,VDS0023,116.0,67.0,22.0
20230216070500,VDS0023,117.0,65.8,22.0
20230216071000,VDS0023,174.0,60.7,24.0
20230216071500,VDS0023,209.0,59.8,25.0
20230216072000,VDS0023,180.0,60.3,24.0
20230216072500,VDS0023,241.0,59.4,25.0
20230216073000,VDS0023,253.0,61.0,24.0
20230216073500,VDS0023,245.0,59.8,25.0
20230216074000,VDS0023,294.0,56.7,26.0
20230216074500,VDS0023,233.0,60.3,24.0
20230216075000,VDS0023,336.0,56.8,26.0
20230216075500,VDS0023,308.0,52.0,28.0
20230216080000,VDS0023,253.0,55.0,27.0
20230216080500,VDS0023,331.0,49.9,30.0
20230216081000,VDS0023,330.0,41.1,36.0
20230216081500,VDS0023,322.0,30.2,49.0
20230216082000,VDS0023,268.0,29.8,50.0
20230216082500,VDS0023,285.0,23.0,64.0
20230216083000,VDS0023,288.0,18.2,81.0
20230216083500,VDS0023,273.0,18.9,78.0
20230216084000,VDS0023,248.0,17.3,85.0
20230216084500,VDS0023,258.0,16.8,88.0
20230216085000,VDS0023,265.0,19.4,76.0
20230216085500,VDS0023,275.0,27.3,54.0
20230216090000,VDS0023,252.0,57.0,26.0
20230216090500,VDS0023,198.0,55.5,27.0
20230216091000,VDS0023,269.0,63.1,23.0
20230216091500,VDS0023,260.0,60.8,24.0
20230216092000,VDS0023,211.0,59.9,25.0
20230216092500,VDS0023,267.0,59.6,25.0
20230216093000,VDS0023,273.0,57.9,25.0
20230216093500,VDS0023,229.0,60.8,24.0
20230216094000,VDS0023,288.0,58.9,25.0
20230216094500,VDS0023,251.0,59.7,25.0
20230216095000,VDS0023,220.0,59.6,25.0
20230216095500,VDS0023,268.0,57.2,26.0
20230216100000,VDS0023,255.0,60.6,24.0
20230216100500,VDS0023,220.0,57.0,26.0
20230216101000,VDS0023,271.0,57.6,26.0
20230216101500,VDS0023,216.0,58.2,25.0
20230216102000,VDS0023,207.0,58.9,25.0
20230216102500,VDS0023,258.0,56.2,26.0
20230216103000,VDS0023,251.0,58.0,25.0
20230216103500,VDS0023,214.0,58.1,25.0
20230216104000,VDS0023,245.0,61.1,24.0
20230216104500,VDS0023,249.0,60.2,25.0
20230216105000,VDS0023,192.0,57.7,26.0
20230216105500,VDS0023,193.0,58.9,25.0
20230216110000,VDS0023,188.0,63.8,23.0
20230216110500,VDS0023,200.0,59.2,25.0
20230216111000,VDS0023,278.0,56.7,26.0
20230216111500,VDS0023,213.0,59.6,25.0
20230216112000,VDS0023,193.0,59.7,25.0
20230216112500,VDS0023,249.0,60.1,25.0
20230216113000,VDS0023,237.0,57.4,26.0
20230216113500,VDS0023,197.0,59.0,25.0
20230216114000,VDS0023,231.0,56.8,26.0
20230216114500,VDS0023,257.0,58.0,25.0
20230216115000,VDS0023,192.0,57.7,26.0
20230216115500,VDS0023,235.0,57.6,26.0
20230216120000,VDS0023,207.0,61.5,24.0
20230216120500,VDS0023,198.0,57.7,26.0
20230216121000,VDS0023,249.0,56.9,26.0
20230216121500,VDS0023,223.0,59.6,25.0
20230216122000,VDS0023,197.0,61.1,24.0
20230216122500,VDS0023,245.0,57.2,26.0
20230216123000,VDS0023,215.0,60.7,24.0
20230216123500,VDS0023,198.0,56.4,26.0
20230216124000,VDS0023,270.0,56.5,26.0
20230216124500,VDS0023,245.0,57.6,26.0
20230216125000,VDS0023,208.0,58.1,25.0
20230216125500,VDS0023,250.0,59.0,25.0
20230216130000,VDS0023,221.0,58.3,25.0
20230216130500,VDS0023,230.0,57.0,26.0
20230216131000,VDS0023,272.0,57.7,26.0
20230216131500,VDS0023,250.0,59.0,25.0
20230216132000,VDS0023,230.0,55.9,26.0
20230216132500,VDS0023,268.0,56.8,26.0
20230216133000,VDS0023,217.0,58.2,25.0
20230216133500,VDS0023,253.0,56.2,26.0
20230216134000,VDS0023,298.0,54.9,27.0
20230216134500,VDS0023,248.0,54.8,27.0
20230216135000,VDS0023,237.0,58.6,25.0
20230216135500,VDS0023,268.0,57.8,26.0
20230216140000,VDS0023,246.0,57.2,26.0
20230216140500,VDS0023,231.0,57.5,26.0
20230216141000,VDS0023,283.0,55.0,27.0
20230216141500,VDS0023,241.0,59.1,25.0
20230216142000,VDS0023,241.0,54.6,27.0
20230216142500,VDS0023,259.0,55.9,26.0
20230216143000,VDS0023,235.0,55.0,27.0
20230216143500,VDS0023,219.0,57.4,26.0
20230216144000,VDS0023,287.0,55.3,27.0
20230216144500,VDS0023,274.0,56.2,26.0
20230216145000,VDS0023,215.0,57.0,26.0
20230216145500,VDS0023,292.0,55.6,27.0
20230216150000,VDS0023,264.0,56.2,26.0
20230216150500,VDS0023,264.0,58.0,25.0
20230216151000,VDS0023,300.0,56.2,26.0
20230216151500,VDS0023,278.0,55.8,26.0
20230216152000,VDS0023,245.0,56.1,26.0
20230216152500,VDS0023,264.0,55.8,26.0
20230216153000,VDS0023,260.0,56.7,26.0
20230216153500,VDS0023,237.0,56.5,26.0
20230216154000,VDS0023,285.0,55.9,26.0
20230216154500,VDS0023,259.0,55.1,27.0
20230216155000,VDS0023,250.0,54.0,27.0
20230216155500,VDS0023,264.0,57.9,25.0
20230216160000,VDS0023,230.0,59.6,25.0
20230216160500,VDS0023,271.0,56.0,26.0
20230216161000,VDS0023,318.0,55.0,27.0
20230216161500,VDS0023,284.0,56.0,26.0
20230216162000,VDS0023,267.0,55.7,26.0
20230216162500,VDS0023,305.0,56.0,26.0
20230216163000,VDS0023,257.0,58.2,25.0
20230216163500,VDS0023,265.0,54.0,27.0
20230216164000,VDS0023,323.0,54.0,27.0
20230216164500,VDS0023,279.0,60.2,25.0
20230216165000,VDS0023,268.0,59.8,25.0
20230216165500,VDS0023,304.0,58.4,25.0
20230216170000,VDS0023,270.0,59.8,25.0
20230216170500,VDS0023,331.0,57.4,26.0
20230216171000,VDS0023,347.0,57.6,26.0
20230216171500,VDS0023,257.0,59.7,25.0
20230216172000,VDS0023,298.0,56.9,26.0
20230216172500,VDS0023,341.0,56.1,26.0
20230216173000,VDS0023,290.0,59.7,25.0
20230216173500,VDS0023,280.0,57.7,26.0
20230216174000,VDS0023,354.0,56.6,26.0
20230216174500,VDS0023,302.0,53.5,28.0
20230216175000,VDS0023,302.0,53.6,28.0
20230216175500,VDS0023,328.0,54.9,27.0
20230216180000,VDS0023,320.0,55.0,27.0
20230216180500,VDS0023,326.0,53.0,28.0
